Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianPctOfPriceReduction_AllHomes,MedianPriceCutDollar_AllHomes,MedianRentalPricePerSqft_AllHomes,MedianRentalPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductions_AllHomes,PriceToRentRatio_AllHomes,Sale_Counts,Sale_Counts_Seas_Adj,Sale_Prices,ZHVI_AllHomes,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes
12/31/17,"Pike, Georgia",,91.0,88.0,105.4697318,275000.0,3.018886323,6550.0,,,90.0,33.04,61.0,,,12.42839064,11.45038168,10.47,,,,146200.0,1158.0,1218.0,0.674
12/31/17,"Polk, Georgia",,162.0,166.0,84.68632486,140900.0,5.318562476,4850.0,,,60.0,31.79,63.55,,,10.92009973,7.725321888,7.74,,,,89200.0,950.0,953.0,0.694
12/31/17,"Pulaski, Georgia",,,,70.92630156,,,,,,,,,,,,,,,,,,906.0,901.0,0.598
12/31/17,"Putnam, Georgia",,373.0,338.0,160.9171605,299000.0,3.680154143,5000.0,,,,,,,,10.76241241,7.213930348,,,,,,1365.0,1296.0,0.756
12/31/17,"Quitman, Georgia",,16.0,18.0,,,,,,,,,,,,,,,,,,,934.0,911.0,0.67
12/31/17,"Rabun, Georgia",,477.0,452.0,147.9387755,335000.0,6.901311249,10000.0,,,,,,,,6.149510654,2.798507463,,,,,,1252.0,1237.0,0.782
12/31/17,"Richmond, Georgia",,605.0,623.0,79.8840831,200275.0,,,,800.0,,,,,,10.36732941,9.558823529,,,,,,846.0,844.0,0.616
12/31/17,"Rockdale, Georgia",,493.0,473.0,84.9490582,186900.0,5.265929437,5100.0,0.672947646,1147.5,76.0,12.06,84.15,,,10.21043141,8.26446281,10.09,,,,148600.0,1228.0,1213.0,0.664
12/31/17,"Screven, Georgia",,41.0,42.0,55.9998868,,,,,,,,,,,,,,,,,,983.0,978.0,0.586
12/31/17,"Seminole, Georgia",,,,101.1901458,160000.0,,,,,,,,,,,,,,,,,900.0,899.0,0.65
12/31/17,"Spalding, Georgia",,332.0,328.0,80.14888337,124900.0,3.66051437,5000.0,0.657036123,799.0,65.0,19.84,75.86,,,10.18450354,9.224318658,9.08,,,,104700.0,920.0,904.0,0.636
12/31/17,"Stephens, Georgia",,153.0,146.0,98.02252256,198500.0,4.198062433,5500.0,,,65.0,,,,,8.336816481,5.102040816,,,,,,1018.0,1018.0,0.68
12/31/17,"Stewart, Georgia",,,,,,,,,,,94.57,3.83,,,,,3.2,,,,49400.0,1288.0,1278.0,0.726
12/31/17,"Sumter, Georgia",,,,60.56910569,110000.0,,,,,49.0,,,,,6.172218414,3.488372093,,,,,,,,
12/31/17,"Talbot, Georgia",,,,,,,,,,,,,,,,,,,,,,1045.0,1035.0,0.682
12/31/17,"Taliaferro, Georgia",,,,,,,,,,,,,,,,,,,,,,1035.0,1036.0,0.678
12/31/17,"Tattnall, Georgia",,78.0,78.0,73.59649123,123950.0,,,,,,,,,,4.962019423,2.857142857,,,,,,1009.0,999.0,0.62
12/31/17,"Telfair, Georgia",,42.0,44.0,61.37323727,,,,,,,,,,,,,,,,,,,,
12/31/17,"Terrell, Georgia",,,,,,,,,,,,,,,,,,,,,,936.0,929.0,0.678
12/31/17,"Thomas, Georgia",,,,96.6806611,185500.0,3.943823747,7450.0,,,73.0,23.88,66.77,,,12.81643445,9.523809524,9.1,,,,111000.0,979.0,948.0,0.66
12/31/17,"Tift, Georgia",,155.0,155.0,76.9806445,139000.0,2.825272274,5000.0,,,74.0,45.46,47.84,,,7.74794888,5.376344086,10.16,,,,130800.0,1092.0,1055.0,0.624
12/31/17,"Toombs, Georgia",,,,71.82875264,144783.5,,,,,,,,,,,,,,,,,999.0,993.0,0.59
12/31/17,"Towns, Georgia",,313.0,294.0,128.5493827,275000.0,2.440016267,6000.0,,,109.0,38.61,55.0,,,10.63596254,8.250825083,11.71,,,,184400.0,1312.0,1258.0,0.794
12/31/17,"Troup, Georgia",,322.0,317.0,84.04601705,148750.0,4.653327129,5000.0,0.625,795.0,69.0,,,,,8.349889594,6.113537118,,,,,,833.0,908.0,0.616
12/31/17,"Turner, Georgia",,35.0,35.0,51.05493856,100000.0,,,,,,,,,,,,,,,,,957.0,937.0,0.614
12/31/17,"Union, Georgia",,369.0,356.0,152.4862515,245450.0,4.734144453,10000.0,,,130.0,20.24,72.25,,,10.01650937,7.598039216,11.97,,,,190800.0,1323.0,1296.0,0.912
12/31/17,"Upson, Georgia",,109.0,118.0,65.62643896,110000.0,5.805515239,7000.0,,,49.0,27.42,68.7,,,11.99384724,10.06289308,6.49,,,,64900.0,849.0,851.0,0.622
12/31/17,"Walker, Georgia",,278.0,278.0,92.4832743,148450.0,5.77119883,5000.0,,,68.0,36.8,56.1,,,13.82665594,10.58201058,8.24,,,,97300.0,976.0,974.0,0.724
12/31/17,"Walton, Georgia",,484.0,462.0,104.1588609,249000.0,2.734330075,8000.0,0.697759824,1292.5,96.0,8.02,88.33,,,11.45649334,8.379888268,11.48,,,,168000.0,1236.0,1256.0,0.678
12/31/17,"Ware, Georgia",,157.0,152.0,58.10637177,99900.0,7.080041415,5000.0,,,47.0,35.06,59.15,,,9.707704276,6.626506024,7.0,,,,74400.0,890.0,887.0,0.578
12/31/17,"Warren, Georgia",,12.0,12.0,,,,,,,37.0,2.09,96.97,,,,,5.08,,,,56100.0,,,
12/31/17,"Washington, Georgia",,65.0,72.0,66.11947104,120000.0,,,,,,,,,,,,,,,,,,,
12/31/17,"Wayne, Georgia",,111.0,114.0,69.34222631,126450.0,,,,,67.0,23.12,71.1,,,,,9.51,,,,119000.0,1043.0,1018.0,0.632
12/31/17,"Webster, Georgia",,,,,,,,,,,,,,,,,,,,,,1099.0,1088.0,0.642
12/31/17,"White, Georgia",,315.0,300.0,119.0206925,189900.0,4.59249243,10000.0,,,100.0,28.2,66.53,,,7.871682873,5.472636816,10.0,,,,143200.0,1181.0,1167.0,0.78
12/31/17,"Whitfield, Georgia",,300.0,298.0,100.2837157,164950.0,3.126954346,5000.0,,,82.0,15.05,79.55,,,11.11125127,8.556149733,9.48,,,,120300.0,1052.0,1046.0,0.708
12/31/17,"Wilkes, Georgia",,61.0,60.0,80.48289738,,,,,,,,,,,,,,,,,,1089.0,1077.0,0.688
12/31/17,"Wilkinson, Georgia",,45.0,50.0,,,,,,,,,,,,,,,,,,,989.0,967.0,0.63
