Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianPctOfPriceReduction_AllHomes,MedianPriceCutDollar_AllHomes,MedianRentalPricePerSqft_AllHomes,MedianRentalPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductions_AllHomes,PriceToRentRatio_AllHomes,Sale_Counts,Sale_Counts_Seas_Adj,Sale_Prices,ZHVI_AllHomes,ZRI_AllHomes,ZriPerSqft_AllHomes
3/31/17,Michigan,99.25,44647,38016,113.6109091,155000,3.850853741,5100,0.945945946,1025,102,14.28,80.99,,,11.64707584,10.409044,9.77,15427,18069,,131900,1115,0.898
3/31/17,Minnesota,87.75,19478,16574,165.5092593,240000,2.981124471,9100,1.210067764,1450,166,14.31,80.49,,,12.55820057,11.40228868,11.78,6345,7920,215400,205200,1416,1.158
3/31/17,Mississippi,110,12568,12333,88.93847625,169000,3.703703704,5400,0.75,1095,69,,,,,11.99100543,11.95204196,8.84,1767,1775,,112200,1049,0.674
3/31/17,Missouri,87.25,30387,27478,102,159500,3.429951691,5000,0.805718475,900,103,,,,,12.39419589,11.79063245,10.79,7589,7671,166700,140200,1069,0.836
3/31/17,Montana,117,6504,5831,172.5,290000,3.571428571,10000,0.996153846,1150,158,,,,,8.020960987,7.053064857,13.65,860,1069,254700,200000,1223,0.958
3/31/17,Nebraska,72,4878,4439,125.8093525,185000,3.244998245,6000,0.985221675,,108,8.03,86.61,,,13.35635367,11.75570572,9.9,1896,2168,164900,147400,1255,0.908
3/31/17,Nevada,73.5,16447,15579,140.962436,269900,2.23925166,6775,0.833498024,1350,134,4.04,93.18,,,12.04072877,11.43862554,14.75,5875,5379,2.34E+05,235200,1299,0.806
3/31/17,NewHampshire,126.125,7507,5798,151.1909263,269900,3.334444815,10000,1.207142857,1500,148,12.6,81.21,,,9.904272702,8.356657337,11.88,,,,242200,1681,1.092
3/31/17,NewJersey,144,50851,47537,169.4940476,289000,3.846153846,10000,1.409774436,1875,180,19.25,69.38,,,13.99876436,13.59100159,12.15,12081,15035,2.65E+05,303300,2054,1.238
3/31/17,NewMexico,107.75,11708,10766,126.6891892,214900,3.196125908,6400,0.801832761,1150,94,,,,,12.57483916,12.20454091,12.52,2286,2084,194500,173200,1190,0.674
3/31/17,NewYork,162.25,68141,62480,184.1518683,349900,4.016064257,10000,,3150,141,19.46,72.71,,,10.34158617,9.561824225,10.44,15281,18385,269200,287600,2177,1.176
3/31/17,NorthCarolina,99.25,52063,49188,116.9491525,235000,2.857142857,6500,0.768459376,1200,101,15.63,78.01,,,10.43495041,10.34192312,11.42,15846,15664,182100,158900,1166,0.74
3/31/17,NorthDakota,123.25,2908,2715,,,2.707648884,5100,0.911633934,1300,180,,,,,14.48023357,12.9375162,12.84,540,709,221300,201900,1308,1.114
