Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianPctOfPriceReduction_AllHomes,MedianPriceCutDollar_AllHomes,MedianRentalPricePerSqft_AllHomes,MedianRentalPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductions_AllHomes,PriceToRentRatio_AllHomes,ZHVI_AllHomes,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes
12/31/17,"Schuylkill, Pennsylvania",,590,593,49.01960784,69990,6.367712014,5000,0.56315366,712.5,49,54.63,36.2,13.95620622,10.57563588,8.63,73700,722,708,0.528
12/31/17,"Snyder, Pennsylvania",,,,,197408,,,,,,44.28,48.89,,,11.03,155900,1195,1194,
12/31/17,"Somerset, Pennsylvania",,490,472,73.83124287,149950,5.368421053,6500,,,59,68.59,26.38,10.81970304,7.020872865,8.29,94500,917,915,0.61
12/31/17,"Sullivan, Pennsylvania",,,,100,149900,,,,,,,,,,,,1144,1141,
12/31/17,"Susquehanna, Pennsylvania",,296,278,106.8257864,174500,4.386951631,5100,,,,,,9.029588688,5.295950156,,,1187,1160,
12/31/17,"Tioga, Pennsylvania",,329,318,90.81346424,154900,7.268170426,5300,,,80,25.56,66.06,10.21812009,6.4,9.48,121500,1089,1081,0.692
12/31/17,"Union, Pennsylvania",,199,192,114.4622093,219900,3.660714286,7000,,,,,,12.28355522,7.619047619,,,,,
12/31/17,"Venango, Pennsylvania",,,,57.49354005,89900,,,,,54,42.48,47.53,10.68939554,7.331378299,6.59,71900,,,
12/31/17,"Warren, Pennsylvania",,145,151,64.39393939,82400,,,,,,,,8.130693936,4.80349345,,,951,949,0.612
12/31/17,"Washington, Pennsylvania",,1075,1048,111.0486094,164900,3.829011839,5000,,1025,103,44.84,46.03,14.28953405,8.173418621,10.63,139100,,,0.816
